"id","code","name","period","xray","parent_id:id"
"hr_job_condition_1","1","Darbs, kas tiek veikts vairāk kā 1,5 m, bet mazāk kā 5 m augstumā no grunts, pārseguma vai atbalsta platformas, ja šīm konstrukcijām nav aizsarg­nožogojuma, vai, darbu veikšanai, nepieciešams iziet ārpus aizsarg­nožogojuma.",,,
"hr_job_condition_2","2","Darbs, kas tiek veikts vairāk kā 5 m augstumā no grunts, pārseguma vai atbalsta platformas, ja šīm konstrukcijām nav aizsarg­nožogojuma, vai, darbu veikšanai, nepieciešams iziet ārpus aizsarg­nožogojuma.",,,
"hr_job_condition_3","3","Dažādu kravas celtņu vadītāji, dažādu iekārtu, kas paredzētas cilvēku pacelšanai augstāk kā 1,5 m virs zemes, apkalpošana.",,,
"hr_job_condition_4","4","Stropēšanas darbi",,,
"hr_job_condition_5","5","Darbs uz pārvietojamām kāpnēm, ja jāpakāpjas augstāk kā 1,5 m",,,
"hr_job_condition_6","6","Darbi ekspluatācijā esošās elektroietaisēs ar spriegumu 50 V un lielāku",1,0,
"hr_job_condition_7","7","Darbi, kas tiek veikti slēgtās pazemes telpās, šahtās, slēgtās cisternās",,,
"hr_job_condition_8","8","Darbs ar bīstamām iekārtām, kas atrodas zem spiediena, tajā skaitā katliekārtu apkalpošana",1,0,
"hr_job_condition_9","9","Spridzināšanas darbi, arī pirotehnikas spridzināšanas darbi",1,0,
"hr_job_condition_10","10","Darbi, kurus veicot nepieciešams lietot gāzmaskas",1,1,
"hr_job_condition_11","11","autoiekrāvēju un motobloku vadīšana",,,
"hr_job_condition_12","12","Vilcienu vadīšana",,,
"hr_job_condition_12_1","12.1","Dzelzceļa vilces līdzekļa vadīšana",,,"hr_job_condition_12"
"hr_job_condition_12_1_1","12.1.1.","Vilces līdzekļa vadītājs (mašīnists)",3,0,"hr_job_condition_12_1"
"hr_job_condition_12_1_2","12.1.2.","Vilces līdzekļa vadītājs (mašīnists) instruktors Vilces līdzekļa vadītāja (mašīnista) palīgs",3,0,"hr_job_condition_12_1"
"hr_job_condition_12_2","12.2.","Vilcienu kustības vadība: vilcienu kustības, lokomotīvju darba organizācijas vecākie dispečeri, dispečeri, energodispečeri, dežuranti, operatori dzelzceļa staciju, šķirošanas uzkalnu, parku dežuranti un operatori, manevru dispečeri, centralizācijas un pārmiju posteņu operatori kravas vilcienu galvenie konduktori, konduktori, vilcienu sastādītāji un viņu palīgi, vagonu kustības ātruma regulētāji, signalizētāji, vilcienu un kravu pieņēmēji.",3,1,"hr_job_condition_12"
"hr_job_condition_12_3","12.3.","Dzelzceļa infrastruktūras uzturēšana: sliežu ceļu vecākie meistari, ceļu meistari, brigadieri, montētāji un apgaitnieki pārbrauktuvju dežuranti signalizācijas, centralizācijas un “bloķēšanas lauku” ierīču vecākie elektromehāniķi, elektromehāniķi un elektromontieri kontakttīkla un elektroapgādes rajonu vecākie elektromehāniķi, elektromehāniķi un elektromontieri.",1,1,"hr_job_condition_12"
"hr_job_condition_12_4","12.4.","Ritošā sastāva apkope: (vagonu tehniskās apkopes punktu vecākie vagonu apskatītāji (remontētāji), vagonu apskatītāji (remontētāji), operatori).",3,1,"hr_job_condition_12"
"hr_job_condition_12_5","12.5.","Pasažieru pārvadājumu nodrošināšana: pasažieru vilcienu priekšnieki, revidenti–kontrolieri, konduktori–kontrolieri pasažieru vagonu pavadoņi.",3,1,"hr_job_condition_12"
"hr_job_condition_13","13","Gaisa kuģu tehniskās apkopes apliecības īpašnieki un apliecības saņemšanas pretendenti.",1,1,
